Wall time,Step,Value
1584612778.961247,0,0.4986552894115448
1584613570.227465,1,0.3981809914112091
1584614452.71963,2,0.3439379930496216
1584615373.128644,3,0.30452001094818115
1584616335.46969,4,0.2718447744846344
1584617267.320932,5,0.2497137039899826
1584617970.605355,6,0.23331698775291443
1584618753.670993,7,0.22102101147174835
1584619529.681331,8,0.20729738473892212
1584620170.909935,9,0.1979520618915558
1584620816.437071,10,0.18626028299331665
1584621547.541535,11,0.1780415177345276
1584622302.147495,12,0.16814498603343964
1584622986.353781,13,0.1630830466747284
1584623676.986723,14,0.1521066278219223
1584624534.38243,15,0.14411641657352448
1584625355.02032,16,0.13648055493831635
1584626145.553364,17,0.12837383151054382
