Wall time,Step,Value
1585163890.509074,0,0.6931033134460449
1585165258.30564,1,0.6927541494369507
1585166651.64357,2,0.6934871673583984
1585168016.664649,3,0.6936671733856201
1585169377.827505,4,0.6935677528381348
1585170740.582444,5,0.6931148171424866
1585172105.539655,6,0.6668084263801575
1585173469.584975,7,0.5455882549285889
1585174875.166111,8,0.4279640316963196
1585176178.818519,9,0.36859217286109924
1585177481.054456,10,0.30078548192977905
1585178783.545988,11,0.25747019052505493
1585180087.582751,12,0.220870241522789
1585181390.997587,13,0.1960567981004715
1585182693.630352,14,0.17568349838256836
1585183998.009834,15,0.15869778394699097
1585185301.62273,16,0.1473919153213501
1585186605.101444,17,0.13872642815113068
1585187909.026591,18,0.13045386970043182
1585189212.933316,19,0.12617620825767517
1585190516.653473,20,0.12213931232690811
1585191821.443581,21,0.12104739248752594
1585193125.061817,22,0.12391921132802963
1585194428.366455,23,0.12381649762392044
1585195732.032056,24,0.12716397643089294
1585197035.012733,25,0.13908851146697998
1585198338.432433,26,0.1505848467350006
1585199642.176173,27,0.16234849393367767
1585200946.040888,28,0.17931748926639557
1585202248.755844,29,0.20357398688793182
