Wall time,Step,Value
1585166336.351556,0,0.4354777932167053
1585168998.535639,1,0.3234955370426178
1585171655.603671,2,0.2682328224182129
1585174342.672057,3,0.2273390144109726
1585177029.256015,4,0.20116980373859406
1585179707.391365,5,0.17897412180900574
1585182385.337223,6,0.16521520912647247
1585185064.545446,7,0.14802414178848267
1585187736.397294,8,0.1382254660129547
1585190398.870201,9,0.127895325422287
1585193066.781389,10,0.1175832450389862
1585195737.498638,11,0.10800020396709442
1585198409.692583,12,0.09989623725414276
1585201101.943485,13,0.09256274998188019
1585203793.274231,14,0.08629002422094345
1585206560.376392,15,0.07758700847625732
1585210873.486465,16,0.06789039075374603
1585213550.999734,17,0.06134684756398201
1585216215.936218,18,0.05566560849547386
1585218890.787606,19,0.05065903067588806
1585221556.3515,20,0.04577699303627014
1585224228.322177,21,0.039854422211647034
1585226904.98759,22,0.03652023896574974
1585229918.215599,23,0.03404759243130684
1585235515.005151,24,0.030293159186840057
1585238130.35979,25,0.028694353997707367
1585240729.166501,26,0.02516322210431099
1585243335.449712,27,0.021348536014556885
1585245948.079457,28,0.02207442931830883
1585248575.409827,29,0.01795838214457035
1585251202.33968,30,0.01886189915239811
