Wall time,Step,Value
1585163890.511822,0,0.5047361254692078
1585165258.308157,1,0.5033749938011169
1585166651.653031,2,0.5015902519226074
1585168016.6667,3,0.4980138838291168
1585169377.829333,4,0.49905556440353394
1585170740.584355,5,0.5078402757644653
1585172105.541207,6,0.5606389045715332
1585173469.587438,7,0.7121875286102295
1585174875.168133,8,0.8058472275733948
1585176178.820523,9,0.8367430567741394
1585177481.056406,10,0.8741041421890259
1585178783.551211,11,0.8956458568572998
1585180087.587433,12,0.9123471975326538
1585181391.003226,13,0.9238055348396301
1585182693.632428,14,0.9327083230018616
1585183998.011793,15,0.9400208592414856
1585185301.625331,16,0.9446180462837219
1585186605.108968,17,0.9478541612625122
1585187909.032023,18,0.9512777924537659
1585189212.93546,19,0.9529305696487427
1585190516.656534,20,0.9546735882759094
1585191821.454509,21,0.9554166793823242
1585193125.063842,22,0.9542222023010254
1585194428.368453,23,0.9541597366333008
1585195732.034026,24,0.9533125162124634
1585197035.014714,25,0.948229193687439
1585198338.434634,26,0.9442638754844666
1585199642.178029,27,0.9398402571678162
1585200946.043416,28,0.9337708353996277
1585202248.757571,29,0.9236319661140442
