Wall time,Step,Value
1584635743.2023807,0,0.5037415027618408
1584636616.1271384,1,0.39957645535469055
1584637463.0406306,2,0.3534872829914093
1584638441.079992,3,0.31560981273651123
1584639461.6392767,4,0.28193822503089905
1584640412.1067395,5,0.257619708776474
1584641285.0587313,6,0.23894554376602173
1584642171.5363777,7,0.22334662079811096
1584643113.5639358,8,0.2097368836402893
1584644007.0912528,9,0.19985955953598022
1584644898.6367035,10,0.18797381222248077
1584645864.9500744,11,0.1781202107667923
1584646814.5356982,12,0.17057903110980988
1584647784.3131983,13,0.16114847362041473
